month,revenue,units_sold,region
2023-01,12036,240,North
2023-01,10767,215,South
2023-02,13600,272,North
2023-02,11403,228,South
2023-03,13670,273,North
2023-03,12375,247,South
2023-04,14251,285,North
2023-04,12802,256,South
2023-05,15832,316,North
2023-05,13678,273,South
2023-06,16695,333,North
2023-06,14340,286,South
2023-07,17472,349,North
2023-07,15397,307,South
2023-08,17768,355,North
2023-08,16720,334,South
2023-09,18893,377,North
2023-09,17020,340,South
2023-10,19436,388,North
2023-10,18256,365,South
2023-11,19918,398,North
2023-11,18397,367,South
2023-12,21471,429,North
2023-12,19876,397,South
2024-01,22311,446,North
2024-01,19946,398,South
2024-02,22209,444,North
2024-02,21572,431,South
2024-03,23141,462,North
2024-03,22179,443,South
2024-04,24462,489,North
2024-04,22474,449,South
2024-05,24936,498,North
2024-05,23466,469,South
2024-06,26315,526,North
2024-06,24348,486,South
2024-07,27178,543,North
2024-07,25336,506,South
2024-08,27274,545,North
2024-08,26399,527,South
2024-09,28550,571,North
2024-09,26395,527,South
2024-10,28981,579,North
2024-10,27934,558,South
2024-11,29750,595,North
2024-11,28087,561,South
2024-12,30316,606,North
2024-12,29110,582,South
