Order ID,Date,Product,Category,Price,Quantity,City,Payment Method
10000,2024-01-13,Pizza,Main,15.0,3,Madrid,Card
10001,2024-02-22,Salad,Main,9.5,1,Berlin,Card
10002,2024-02-17,Burger,Main,12.0,2,Madrid,Online
10003,2024-10-14,Burger,Main,12.0,2,Berlin,Card
10004,2024-10-28,Ice Cream,Dessert,6.0,3,London,Card
10005,2024-06-23,Soda,Beverage,2.5,3,Madrid,Card
10006,2024-02-22,Coffee,Beverage,3.0,1,Berlin,Card
10007,2024-06-25,Coffee,Beverage,3.0,3,London,Online
10008,2024-10-01,Ice Cream,Dessert,6.0,1,Berlin,Card
10009,2024-05-30,Cheesecake,Dessert,7.5,3,Madrid,Online
10010,2024-01-24,Pizza,Main,15.0,2,Paris,Card
10011,2024-02-21,Fries,Side,4.5,4,Paris,Cash
10012,2024-03-24,Coffee,Beverage,3.0,3,Paris,Card
10013,2024-12-25,Onion Rings,Side,5.0,1,Madrid,Online
10014,2024-03-24,Fries,Side,4.5,4,Berlin,Cash
10015,2024-04-22,Cheesecake,Dessert,7.5,3,London,Card
10016,2024-06-10,Burger,Main,12.0,4,Paris,Card
10017,2024-10-17,Fries,Side,4.5,3,Madrid,Online
10018,2024-07-21,Ice Cream,Dessert,6.0,4,Madrid,Cash
10019,2024-05-06,Salad,Main,9.5,3,Berlin,Online
10020,2024-07-04,Soda,Beverage,2.5,2,Madrid,Online
10021,2024-02-16,Ice Cream,Dessert,6.0,1,London,Card
10022,2024-12-14,Salad,Main,9.5,4,London,Cash
10023,2024-11-01,Soda,Beverage,2.5,4,Paris,Online
10024,2024-12-14,Burger,Main,12.0,1,Paris,Online
10025,2024-02-27,Coffee,Beverage,3.0,3,Berlin,Card
10026,2024-01-02,Ice Cream,Dessert,6.0,3,Madrid,Online
10027,2024-11-16,Pizza,Main,15.0,3,Madrid,Card
10028,2024-03-23,Coffee,Beverage,3.0,1,Paris,Cash
10029,2024-02-27,Burger,Main,12.0,3,Paris,Card
10030,2024-05-03,Burger,Main,12.0,1,London,Online
10031,2024-02-05,Ice Cream,Dessert,6.0,2,Madrid,Online
10032,2024-10-08,Ice Cream,Dessert,6.0,2,Paris,Online
10033,2024-04-18,Soda,Beverage,2.5,2,Paris,Cash
10034,2024-08-12,Coffee,Beverage,3.0,4,London,Card
10035,2024-02-02,Fries,Side,4.5,3,London,Online
